field,population_requiring_it,ready,not_applicable,missing_invalid,unresolved_unknown,ready_pct,required_owner,evidence_source,verified_this_session
Branch,1332 active employees,not separately quantified this pass,-,-,-,not computed,HR,No known gap recorded in project memory; not independently re-audited this pass,NO
Process,1332 active employees,991,0 (none legitimately Process-exempt confirmed),341,0,74.4%,HR/Ops,Live query this session; full row-level worklist in uat/WORKLIST_MISSING_PROCESS.csv,YES
Cost Centre,1332 active employees,1277,0 (none legitimately CC-exempt confirmed),55,0,95.9%,HR/Finance,"Live query this session; full row-level worklist in uat/WORKLIST_MISSING_COST_CENTRE.csv. A prior backfill already closed most of the gap (project memory: 148/185 backfilled) - this is the CURRENT remaining figure after that backfill, not the original one.",YES
Manager,1332 active employees,not separately quantified this pass,-,-,-,not computed,HR/Ops,No specific gap recorded in project memory beyond the reporting_manager_id/manager_id dual-column pattern noted incidentally this session; not independently re-audited,NO
Client Scope,Manager/process_manager roles requiring Inbound Quality access,BLOCKED (fails closed),-,-,unresolved,0% for the scoped-access population,Ops/Quality,"Project memory: process↔client mapping is many-to-many and the correct scoping model was not yet built as of the last audit; current code fails closed rather than leaking access (safe direction). Not independently re-audited this session.",NO - per prior memory only
Bank Account,1332 active employees / payable population specifically,per project memory: 90 of 1327 payable-eligible were bank-ready at last audit; 248 unbanked were later resolved to 27 remaining,-,per memory: 27 remaining unbanked (post-resolution),0,per memory ~98% of the unbanked-specific cohort resolved; overall payable-readiness % not restated here to avoid presenting a stale precise figure as fresh,HR/Payroll,"Project memory (hrms2-bank-payment-gate-blocked, hrms2-unbanked-248-ifsc-not-in-dbbill): NOT independently re-verified this session - a live re-check was attempted but blocked by a genuine DB connection-establishment degradation observed live during this session (see infrastructure finding D007 / P006). Treat as directionally correct but re-verify before using as a go-live number.",NO - per prior memory only, live re-check attempted and blocked by DB connectivity
IFSC,Same population as Bank Account,per project memory: guard on IFSC already exists in the bank-account-number recovery work,-,not separately quantified,0,not computed,HR/Payroll,Project memory only; not independently re-audited this session,NO - per prior memory only
PF Applicability,All PF-eligible employees,per project memory: 5 disagreeing eligibility sources still live; 333/1332 live-engine disagreement measured at last audit,per project memory,not separately quantified,per memory: unresolved disagreement itself IS the open item,per memory not computed as a single % (the finding IS that there is no single agreed answer yet),Payroll/Compliance,"Project memory (hrms2-pf-resolver-zero-consumers, hrms2-pf-optout-vs-resolver-disagreement, hrms2-pf-eligible-is-not-the-pf-gate): this is a STANDING, documented, not-yet-closed finding from prior deep audits - the brief's own item 'PF applicability - Compare canonical resolver vs live payroll applicability, resolve every disagreement' matches this exactly and remains open. Not independently re-verified live this session.",NO - per prior memory only
UAN,PF-applicable employees,per project memory: a READY/MISSING_UAN/INVALID_UAN resolver was added but its consumer (pfEcrFormat()) is still unwired,-,per memory: not separately quantified in current session,per memory: readiness resolver exists but is not yet the thing driving the actual ECR file,not computed,HR/Payroll,Project memory (hrms2-uan-filing-readiness-added). Not independently re-verified live this session.,NO - per prior memory only
ESI Applicability,All ESI-eligible employees,not separately quantified,-,-,-,not computed,Payroll/Compliance,"Project memory notes ESIC continuity opt-out is dead code (hrms2-esic-continuity-is-dead-code) but does not give a current applicability-disagreement count analogous to PF's. Not independently re-audited this session.",NO - per prior memory only
ESIC IP,ESI-applicable employees,not separately quantified,-,-,-,not computed,HR/Payroll,No specific current figure in project memory beyond the general ESI dead-code finding above. Not independently re-audited this session.,NO
PT Jurisdiction,Branch/state-mapped payable population,per project memory: RESOLVED - register contamination fixed, zero actual liability from the blank-state-branch issue,per memory,0 per memory,0 per memory,per memory: effectively resolved,Payroll,Project memory (hrms2-pt-blank-state-branches). Not independently re-audited this session but this item's prior status was explicitly RESOLVED not merely investigated.,NO - per prior memory only (but prior finding itself was a closure, not an open gap)
TDS Mode,All employees subject to income tax,Manual TDS: functional per project memory (golden-test level); Auto TDS: on HOLD per project memory - ambiguous/duplicated slabs silently swallowed by a bare catch masking the fail-closed guard,-,not separately quantified,per memory: Auto TDS ambiguity is the open item,not computed,Payroll,"Project memory (hrms2-tds-ambiguous-slabs-silently-swallowed). Matches the brief's own item 7 exactly ('Auto TDS - Current HOLD... Remove duplicated/ambiguous slabs only via approved cleanup'). Not independently re-audited this session; Auto TDS should remain disabled/excluded from the go-live gate per the brief's own §18 allowance ('PASS or disabled and excluded').",NO - per prior memory only
